city,lat,lng
Lake Catherine,42.487,-88.1272
Lombard,41.8741,-88.0157
Washington Park,38.6285,-90.0928
Gibson City,40.4665,-88.3788
Camargo,39.7991,-88.1671
Stronghurst,40.7462,-90.9095
McHenry,42.3388,-88.2931
Emden,40.2982,-89.4851
Hardin,39.1591,-90.6248
Goofy Ridge,40.3949,-89.9407
Roxana,38.8318,-90.0465
Bondville,40.1116,-88.3683
Lost Nation,41.9124,-89.3689
Sycamore,41.995,-88.6812
Byron,42.1273,-89.2622
Dakota,42.388,-89.5266
Westville,40.0439,-87.6389
Lisbon,41.4794,-88.4597
Thayer,39.5404,-89.7579
Prairie Grove,42.2771,-88.2697
Valley City,39.7071,-90.6514
Symerton,41.3255,-88.0532
Elkville,37.91,-89.2367
Argenta,39.9855,-88.8197
Swansea,38.5507,-89.9859
Wilmette,42.077,-87.7282
Nashville,38.3514,-89.377
Dunfermline,40.4917,-90.0325
Broughton,37.9345,-88.4623
Machesney Park,42.3666,-89.0266
Chatsworth,40.7294,-88.2974
Kankakee,41.102,-87.8643
Algonquin,42.1629,-88.3158
Malden,41.4249,-89.3698
Forsyth,39.9259,-88.964
Homer Glen,41.6044,-87.9497
Prairie City,40.621,-90.4649
Mokena,41.5324,-87.8779
Panola,40.7829,-89.0203
Tennessee,40.4112,-90.8362
Bellwood,41.8829,-87.8762
Mettawa,42.2449,-87.9201
Shorewood,41.5175,-88.2149
Dorchester,39.0859,-89.8878
Pittsfield,39.6199,-90.7936
Niles,42.0279,-87.81
Wheeler,39.043,-88.3188
Tower Hill,39.3868,-88.9592
Martinsville,39.3383,-87.8811
Hainesville,42.3414,-88.0686
Leland,41.616,-88.7983
East Brooklyn,41.1727,-88.266
Calumet Park,41.665,-87.6578
Holiday Shores,38.9226,-89.9361
Kingston Mines,40.5587,-89.7718
Oakford,40.1011,-89.9651
Beach Park,42.4261,-87.8584
Lomax,40.6789,-91.0762
South Jacksonville,39.7024,-90.2293
Albany,41.7861,-90.2166
Dieterich,39.0601,-88.3818
Keyesport,38.746,-89.2737
Viola,41.2053,-90.5863
Carbondale,37.722,-89.2238
Watseka,40.7748,-87.7292
Monticello,40.0342,-88.5729
Bartlett,41.9803,-88.207
La Grange Park,41.8308,-87.8723
Brussels,38.9485,-90.589
Chicago Heights,41.5101,-87.6347
Chicago Ridge,41.7034,-87.7795
Indian Creek,42.2272,-87.9783
Sims,38.3618,-88.5354
Dolton,41.6284,-87.5979
Kinmundy,38.7726,-88.8539
Strasburg,39.3497,-88.6212
Forrest,40.7511,-88.4097
Elizabethtown,37.4499,-88.3052
Sparta,38.1514,-89.7185
Toulon,41.0935,-89.8633
Stillman Valley,42.1041,-89.18
Plainfield,41.6205,-88.226
Dixon,41.8439,-89.4788
Huey,38.6054,-89.2898
Phillipstown,38.1429,-88.0181
Jonesboro,37.451,-89.2666
Jacksonville,39.7292,-90.2316
Coulterville,38.185,-89.6046
Arthur,39.7144,-88.4696
Olney,38.7285,-88.0838
Girard,39.4466,-89.782
Cabery,40.9958,-88.2037
Ste. Marie,38.93,-88.0278
Moline,41.4821,-90.4919
Wataga,41.0253,-90.2755
Hawthorn Woods,42.2313,-88.0623
Olive Branch,37.1755,-89.3518
Union Hill,41.1083,-88.1461
Newark,41.5368,-88.5804
Preston Heights,41.4943,-88.0756
Brookfield,41.8245,-87.847
Anna,37.4612,-89.2388
Palmer,39.4586,-89.4079
Allendale,38.5276,-87.7103
Mount Carmel,38.4187,-87.7694
Norridge,41.9637,-87.8231
Lake Bluff,42.2826,-87.851
Crescent City,40.7718,-87.8563
Dwight,41.0986,-88.424
Clinton,40.1468,-88.9633
Greenfield,39.3443,-90.208
Franklin Grove,41.8408,-89.3004
Hometown,41.7312,-87.7311
West Peoria,40.6969,-89.64
Fairfield,38.3799,-88.3723
Smithton,38.416,-89.9902
Coatsburg,40.0327,-91.1603
Vienna,37.4143,-88.8871
La Grange,41.8072,-87.8741
Fairmont City,38.6503,-90.1026
Metcalf,39.7998,-87.8093
River Forest,41.895,-87.8194
Hoffman Estates,42.0639,-88.1468
Old Shawneetown,37.6971,-88.1387
McClure,37.3146,-89.4335
Lewistown,40.3968,-90.1555
Mineral,41.3843,-89.8388
Adair,40.4183,-90.4974
Riverton,39.8454,-89.5394
Brocton,39.7155,-87.9335
LaPlace,39.7978,-88.7156
Hurst,37.8351,-89.1442
Morrisonville,39.4217,-89.459
Matteson,41.5095,-87.7468
Venetian Village,42.4012,-88.0465
Cleveland,41.5033,-90.3181
Armington,40.3398,-89.3143
Cedarville,42.3756,-89.6363
Schram City,39.1632,-89.4609
Mount Auburn,39.7649,-89.2608
Garden Prairie,42.2534,-88.7178
Lake of the Woods,40.2048,-88.3732
Carbon Hill,41.297,-88.2999
Woodridge,41.7368,-88.0408
Manhattan,41.4274,-87.9802
Lena,42.3786,-89.8217
Monmouth,40.9142,-90.642
Kansas,39.5545,-87.9394
Waukegan,42.3697,-87.8716
Fisher,40.3157,-88.3503
New Salem,39.7076,-90.8478
Manito,40.4206,-89.7809
Shumway,39.1834,-88.6532
Freeburg,38.4397,-89.9169
Westmont,41.7948,-87.9742
East Dundee,42.097,-88.2545
Summit,41.7877,-87.8146
Ashton,41.8682,-89.2224
Fayetteville,38.3775,-89.7967
Cerro Gordo,39.8894,-88.7347
Buffalo,39.8499,-89.4089
Garrett,39.7973,-88.4246
Albion,38.3767,-88.0581
Hampton,41.5555,-90.4046
Mount Sterling,39.9854,-90.7641
Alvan,40.307,-87.6069
Baylis,39.7294,-90.9095
East Moline,41.5199,-90.388
Bannockburn,42.1932,-87.8694
Nason,38.176,-88.9662
De Pue,41.3275,-89.2963
Staunton,39.0117,-89.7905
University Park,41.446,-87.7154
Otterville,39.0508,-90.3985
Roodhouse,39.484,-90.3741
Dunlap,40.8483,-89.6719
Dahlgren,38.198,-88.6847
Bryant,40.4654,-90.0948
Bardolph,40.4962,-90.5633
Momence,41.164,-87.663
West Salem,38.5197,-88.009
Sherrard,41.3108,-90.499
Bloomingdale,41.9497,-88.0895
Rock City,42.413,-89.4711
Millstadt,38.4579,-90.0834
Carthage,40.4143,-91.1277
Farmersville,39.4427,-89.6525
Richmond,42.4641,-88.3088
Plainville,39.7847,-91.1817
South Barrington,42.0881,-88.1579
East Carondelet,38.5386,-90.24
Lily Lake,41.9518,-88.4742
Ursa,40.074,-91.3721
Cordova,41.6773,-90.3215
Lee,41.7954,-88.9417
La Prairie,40.1474,-91.0025
Pontoon Beach,38.7208,-90.0601
Alhambra,38.8878,-89.736
Joppa,37.207,-88.8447
Ramsey,39.1443,-89.1105
Manlius,41.4553,-89.6685
Okawville,38.4344,-89.548
Litchfield,39.1963,-89.6288
Orland Park,41.6075,-87.8619
Jeffersonville,38.4425,-88.404
Ashland,39.8885,-90.0079
De Soto,37.8162,-89.2269
Volo,42.3298,-88.1599
Mazon,41.2417,-88.4234
Lima,40.1765,-91.3782
Coleta,41.9027,-89.8002
Hudson,40.6053,-88.9895
Butler,39.1976,-89.5318
Midlothian,41.6254,-87.7243
Edgewood,38.9222,-88.6641
Bellmont,38.383,-87.9106
Astoria,40.2279,-90.3566
Pontoosuc,40.6284,-91.2112
Oak Run,40.9649,-90.1304
Pocahontas,38.8234,-89.5394
Palmyra,39.4345,-89.9959
Maquon,40.798,-90.1632
DeKalb,41.9314,-88.7482
Reynolds,41.3321,-90.6722
Stoy,38.9967,-87.8335
Sublette,41.6437,-89.2311
Hanover Park,41.9818,-88.1447
Bushnell,40.5518,-90.5047
Tonica,41.2159,-89.0702
Hampshire,42.1112,-88.512
Forreston,42.1266,-89.5782
Secor,40.7417,-89.1349
Capron,42.3986,-88.7393
Mount Vernon,38.314,-88.9174
Seaton,41.1023,-90.7991
Hoopeston,40.4609,-87.6636
Gardner,41.193,-88.3147
Spaulding,39.8665,-89.5446
Old Ripley,38.8927,-89.5721
Western Springs,41.8022,-87.9006
Sigel,39.2257,-88.4945
Campton Hills,41.9498,-88.4167
Divernon,39.5698,-89.6539
Beecher City,39.1866,-88.7875
Martinton,40.9153,-87.7265
Naplate,41.3322,-88.8781
Gages Lake,42.3519,-87.9828
Bensenville,41.9595,-87.9434
Warren,42.4948,-89.9913
La Harpe,40.5848,-90.9695
Lake Villa,42.4184,-88.0836
Berwyn,41.8433,-87.7909
Woodson,39.6274,-90.2256
Walnut,41.557,-89.5908
Deer Park,42.1656,-88.0867
West Brooklyn,41.6928,-89.1473
Streamwood,42.0208,-88.1778
Junction,37.7234,-88.2382
St. Libory,38.3633,-89.7135
Aroma Park,41.0789,-87.8011
Newman,39.797,-87.9877
Harrisburg,37.7374,-88.5457
Colchester,40.4273,-90.7922
Wilsonville,39.0694,-89.8553
Dalton City,39.7168,-88.8065
Morris,41.3748,-88.4301
Latham,39.9669,-89.1623
Bentley,40.3441,-91.1118
Goreville,37.561,-88.9557
Lexington,40.6469,-88.7847
Taylorville,39.5328,-89.2804
Park City,42.3522,-87.8915
Tuscola,39.7968,-88.2749
Morton,40.6137,-89.4668
Elmwood,40.7804,-89.9656
Shannon,42.1524,-89.7402
Waltonville,38.214,-89.0381
Burr Ridge,41.7485,-87.9199
Potomac,40.3068,-87.7978
Timberlane,42.3372,-88.8694
Schaumburg,42.0307,-88.0838
Oblong,39.0022,-87.9107
Wadsworth,42.4442,-87.9199
St. David,40.492,-90.0519
Galatia,37.8414,-88.6148
Chatham,39.6729,-89.6957
Vandalia,38.9754,-89.1117
Tilden,38.2124,-89.684
Godfrey,38.9581,-90.2156
Creston,41.9335,-88.9742
Taylor Springs,39.131,-89.495
Carlinville,39.2775,-89.8762
Mahomet,40.1885,-88.3903
Davis,42.4215,-89.4156
Leonore,41.1889,-88.9823
Loves Park,42.3365,-88.9975
Hartsburg,40.2506,-89.4409
Hillcrest,41.9684,-89.0654
Catlin,40.0675,-87.7079
Cave-In-Rock,37.4708,-88.1659
South Elgin,41.9906,-88.3134
Palestine,39.0016,-87.6126
Cissna Park,40.5667,-87.8923
Evansville,38.0889,-89.9322
Georgetown,39.9774,-87.6354
Oakbrook Terrace,41.8539,-87.9685
Seymour,40.1067,-88.4271
Peoria,40.7521,-89.6155
Redmon,39.6448,-87.8616
Kaneville,41.8336,-88.5216
Oconee,39.2863,-89.1068
Carmi,38.0857,-88.1728
Bartelso,38.5371,-89.4671
Hutsonville,39.1084,-87.6608
Roberts,40.6148,-88.1843
Xenia,38.6373,-88.6375
Gays,39.4581,-88.4962
Thompsonville,37.9144,-88.7623
Richview,38.3758,-89.1804
Ipava,40.3526,-90.3234
Clear Lake,39.8139,-89.5682
Skokie,42.036,-87.74
Gurnee,42.3708,-87.9392
Keenes,38.3386,-88.6419
Parkersburg,38.5891,-88.0568
Montgomery,41.7237,-88.3631
Pulaski,37.2163,-89.2078
Carterville,37.763,-89.0841
Grayslake,42.3402,-88.0338
Allerton,39.9161,-87.9353
Congerville,40.6168,-89.2051
Alton,38.9033,-90.1523
Claremont,38.7177,-87.973
Pleasant Hill,39.4434,-90.8729
Germantown,38.5552,-89.5412
South Beloit,42.4821,-89.0247
Stonefort,37.6178,-88.7051
Atwood,39.7992,-88.4626
Mount Olive,39.0726,-89.7277
Sun River Terrace,41.1254,-87.7337
Round Lake,42.3436,-88.1058
New Baden,38.5367,-89.7072
Chadwick,42.0142,-89.8885
Orangeville,42.4659,-89.6469
Loami,39.6746,-89.8476
Stickney,41.8183,-87.773
Crystal Lawns,41.5685,-88.1638
Manchester,39.5424,-90.3303
Itasca,41.9773,-88.0182
Hopedale,40.4238,-89.4203
Winthrop Harbor,42.4805,-87.8293
Gilman,40.7632,-87.9972
Germantown Hills,40.7712,-89.467
Durand,42.4341,-89.3265
Rossville,40.3815,-87.67
Cuba,40.4936,-90.1933
Toledo,39.2728,-88.2419
Glasford,40.5729,-89.813
Littleton,40.234,-90.6223
Sawyerville,39.0785,-89.802
Neponset,41.2968,-89.7894
Westchester,41.8492,-87.8906
Keensburg,38.3518,-87.8683
Long Point,41.0055,-88.8931
Glen Carbon,38.7579,-89.9832
Braidwood,41.2696,-88.2234
Cicero,41.8445,-87.7593
Wilmington,41.3203,-88.1633
Ripley,40.0252,-90.6379
Ohio,41.556,-89.4606
Carpentersville,42.1227,-88.2895
Ingalls Park,41.5203,-88.0346
Rock Island,41.4699,-90.5827
German Valley,42.2143,-89.4845
Benton,38.011,-88.9179
Andover,41.2949,-90.2907
Island Lake,42.2784,-88.1999
Mechanicsburg,39.803,-89.4066
Walnut Hill,38.4777,-89.0447
Sibley,40.5874,-88.3785
Frankfort,41.4887,-87.836
Herrick,39.2196,-88.9848
Homewood,41.5591,-87.661
Calhoun,38.6511,-88.044
Park Forest,41.4817,-87.6868
Joy,41.1969,-90.8788
Pecatonica,42.3085,-89.3578
Alto Pass,37.5737,-89.3192
Avon,40.662,-90.4352
Frankfort Square,41.5221,-87.8033
Des Plaines,42.0344,-87.9008
Beckemeyer,38.6059,-89.4322
Mount Pulaski,40.0102,-89.2839
Highland,38.7602,-89.681
LaSalle,41.3575,-89.0718
Batavia,41.8479,-88.3109
Kildeer,42.1831,-88.0488
Williamsville,39.9517,-89.5507
Oakland,39.6576,-88.0273
Ellsworth,40.4496,-88.7161
Royal Lakes,39.1117,-89.9607
Ruma,38.1306,-90.0003
Muddy,37.7655,-88.5138
Damiansville,38.5087,-89.6149
Rochelle,41.9194,-89.0634
Keithsburg,41.1004,-90.9353
The Galena Territory,42.3956,-90.3159
Silvis,41.4975,-90.4101
Naples,39.7534,-90.6069
Liverpool,40.3901,-90.0026
Scales Mound,42.4749,-90.2526
Cypress,37.3655,-89.0187
Grand Ridge,41.2362,-88.831
Poplar Grove,42.3516,-88.8353
Elmhurst,41.8973,-87.9432
Hamburg,39.2328,-90.7152
Harwood Heights,41.9663,-87.8057
Atlanta,40.2637,-89.2311
Homer,40.0329,-87.9578
Mason City,40.2022,-89.6973
Bay View Gardens,40.8102,-89.5272
Freeport,42.2892,-89.6348
Augusta,40.2309,-90.9498
Grayville,38.2554,-87.997
Romeoville,41.6319,-88.0996
Kewanee,41.2399,-89.9264
Lawrenceville,38.7263,-87.6874
Crystal Lake,42.2332,-88.3349
Belle Prairie City,38.2235,-88.5559
Winnetka,42.1064,-87.7421
Ava,37.8886,-89.4965
Ransom,41.1586,-88.6542
Palos Park,41.6682,-87.8885
Caseyville,38.63,-90.0342
North Barrington,42.2065,-88.1316
Rockwood,37.8405,-89.6968
Little York,41.0108,-90.7462
Campus,41.0247,-88.3072
Stonington,39.6385,-89.1921
Columbia,38.4581,-90.2156
Raymond,39.3197,-89.5751
Windsor,39.4389,-88.5953
Adeline,42.1405,-89.4919
Grafton,38.9765,-90.4259
Oak Park,41.8872,-87.7899
Ashley,38.3289,-89.1894
Philo,40.0033,-88.1564
Oneida,41.0722,-90.2247
Willisville,37.9828,-89.5898
Sugar Grove,41.7758,-88.448
Fox Lake Hills,42.4128,-88.1271
North City,37.9916,-89.0635
North Utica,41.3536,-89.0108
Geneseo,41.4507,-90.154
Carbon Cliff,41.4983,-90.392
Shiloh,38.5534,-89.916
Grandview,39.8175,-89.6181
St. Joseph,40.1141,-88.0355
Aledo,41.1984,-90.7459
Winchester,39.6298,-90.4559
Eldorado,37.8113,-88.4415
Gridley,40.7438,-88.8807
Ullin,37.2777,-89.1752
Enfield,38.1019,-88.3382
Riverside,41.831,-87.8169
Rock Falls,41.7724,-89.6928
Centreville,38.5798,-90.1039
Versailles,39.8842,-90.6587
Lake Camelot,40.6341,-89.7509
Grant Park,41.2429,-87.6353
Belgium,40.0607,-87.6328
Joliet,41.5189,-88.1499
Jewett,39.2077,-88.2431
Lincoln,40.1509,-89.3721
Rosewood Heights,38.8885,-90.0722
Cutler,38.0325,-89.5676
New Milford,42.1775,-89.065
Plattville,41.5343,-88.3835
Arenzville,39.8805,-90.3706
Millbrook,41.6071,-88.5454
White Hall,39.4388,-90.4019
Mound Station,40.0066,-90.8737
West Chicago,41.896,-88.2252
Minier,40.4336,-89.3144
Clifton,40.9346,-87.9339
Millington,41.5623,-88.6023
Mill Shoals,38.2496,-88.3456
Camden,40.1529,-90.7733
Bedford Park,41.767,-87.7915
Atkinson,41.4167,-90.0088
Palatine,42.1181,-88.043
Mount Prospect,42.0641,-87.9375
Findlay,39.5223,-88.7546
Williamson,38.9872,-89.7644
Illiopolis,39.8514,-89.2477
Evergreen Park,41.7213,-87.7013
Indian Head Park,41.769,-87.8977
Washburn,40.9203,-89.2916
Old Mill Creek,42.4321,-87.9786
Hooppole,41.5218,-89.914
Addison,41.9314,-88.0085
Prairie du Rocher,38.0817,-90.0976
Kingston,42.1008,-88.7619
Park Ridge,42.0125,-87.8436
Dawson,39.8533,-89.4626
Erie,41.6587,-90.0815
Ina,38.1499,-88.904
Coffeen,39.0883,-89.3898
Arcola,39.6833,-88.3013
Leland Grove,39.7787,-89.6839
New Canton,39.6374,-91.0982
Lenzburg,38.2859,-89.8179
Kirkwood,40.8677,-90.7485
Westfield,39.4554,-87.9967
Maeystown,38.2267,-90.233
Montrose,39.1659,-88.3776
Gorham,37.7151,-89.4831
Galesburg,40.9506,-90.3763
De Witt,40.1847,-88.7853
Simpson,37.4673,-88.7556
