year,county,candidate,party,candidatevotes
2000,Coconino,Al Gore,democrat,20280.0
2000,Coconino,George W. Bush,republican,17562.0
2000,Gila,Al Gore,democrat,7700.0
2000,Gila,George W. Bush,republican,9158.0
2000,Graham,Al Gore,democrat,3355.0
2000,Graham,George W. Bush,republican,6007.0
2000,Greenlee,Al Gore,democrat,1216.0
2000,Greenlee,George W. Bush,republican,1619.0
2000,La Paz,Al Gore,democrat,1769.0
2000,La Paz,George W. Bush,republican,2543.0
2000,Maricopa,Al Gore,democrat,386683.0
2000,Maricopa,George W. Bush,republican,479967.0
2000,Mohave,Al Gore,democrat,17470.0
2000,Mohave,George W. Bush,republican,24386.0
2000,Navajo,Al Gore,democrat,11794.0
2000,Navajo,George W. Bush,republican,12386.0
2000,Pima,Al Gore,democrat,147688.0
2000,Pima,George W. Bush,republican,124579.0
2000,Pinal,Al Gore,democrat,19650.0
2000,Pinal,George W. Bush,republican,20122.0
2000,Santa Cruz,Al Gore,democrat,5233.0
2000,Santa Cruz,George W. Bush,republican,3344.0
2000,Yavapai,Al Gore,democrat,24063.0
2000,Yavapai,George W. Bush,republican,40144.0
2000,Yuma,Al Gore,democrat,12055.0
2000,Yuma,George W. Bush,republican,15708.0
2000,Arkansas,Al Gore,democrat,2877.0
2000,Arkansas,George W. Bush,republican,3353.0
2000,Ashley,Al Gore,democrat,4253.0
2000,Ashley,George W. Bush,republican,3876.0
2000,Baxter,Al Gore,democrat,6516.0
2000,Baxter,George W. Bush,republican,9538.0
2000,Benton,Al Gore,democrat,17277.0
2000,Benton,George W. Bush,republican,34838.0
2000,Boone,Al Gore,democrat,4493.0
2000,Boone,George W. Bush,republican,8569.0
2000,Bradley,Al Gore,democrat,2122.0
2000,Bradley,George W. Bush,republican,1793.0
2000,Calhoun,Al Gore,democrat,1017.0
2000,Calhoun,George W. Bush,republican,1128.0
2000,Carroll,Al Gore,democrat,3595.0
2000,Carroll,George W. Bush,republican,5556.0
2000,Chicot,Al Gore,democrat,2820.0
2000,Chicot,George W. Bush,republican,1564.0
2000,Clark,Al Gore,democrat,4661.0
2000,Clark,George W. Bush,republican,3776.0
2000,Clay,Al Gore,democrat,3527.0
2000,Clay,George W. Bush,republican,2254.0
2000,Cleburne,Al Gore,democrat,4120.0
2000,Cleburne,George W. Bush,republican,5730.0
2000,Cleveland,Al Gore,democrat,1414.0
2000,Cleveland,George W. Bush,republican,1678.0
2000,Columbia,Al Gore,democrat,4003.0
2000,Columbia,George W. Bush,republican,5018.0
2000,Conway,Al Gore,democrat,3496.0
2000,Conway,George W. Bush,republican,3545.0
2000,Craighead,Al Gore,democrat,12376.0
2000,Craighead,George W. Bush,republican,12158.0
2000,Crawford,Al Gore,democrat,6288.0
2000,Crawford,George W. Bush,republican,10804.0
2000,Crittenden,Al Gore,democrat,7224.0
2000,Crittenden,George W. Bush,republican,5857.0
2000,Cross,Al Gore,democrat,3096.0
2000,Cross,George W. Bush,republican,3033.0
2000,Dallas,Al Gore,democrat,1710.0
2000,Dallas,George W. Bush,republican,1571.0
2000,Desha,Al Gore,democrat,2776.0
2000,Desha,George W. Bush,republican,1603.0
2000,Drew,Al Gore,democrat,3060.0
2000,Drew,George W. Bush,republican,2756.0
2000,Faulkner,Al Gore,democrat,11950.0
2000,Faulkner,George W. Bush,republican,16055.0
2000,Franklin,Al Gore,democrat,2674.0
2000,Franklin,George W. Bush,republican,3277.0
2000,Fulton,Al Gore,democrat,1976.0
2000,Fulton,George W. Bush,republican,2036.0
2000,Garland,Al Gore,democrat,15840.0
2000,Garland,George W. Bush,republican,19098.0
2000,Grant,Al Gore,democrat,2535.0
2000,Grant,George W. Bush,republican,3285.0
2000,Greene,Al Gore,democrat,6319.0
2000,Greene,George W. Bush,republican,5831.0
2000,Hempstead,Al Gore,democrat,3937.0
2000,Hempstead,George W. Bush,republican,3257.0
2000,Hot Spring,Al Gore,democrat,5527.0
2000,Hot Spring,George W. Bush,republican,5042.0
2000,Howard,Al Gore,democrat,2063.0
2000,Howard,George W. Bush,republican,2326.0
2000,Independence,Al Gore,democrat,5146.0
2000,Independence,George W. Bush,republican,6145.0
2000,Izard,Al Gore,democrat,2587.0
2000,Izard,George W. Bush,republican,2301.0
2000,Jackson,Al Gore,democrat,3651.0
2000,Jackson,George W. Bush,republican,2280.0
2000,Jefferson,Al Gore,democrat,17716.0
2000,Jefferson,George W. Bush,republican,8765.0
2000,Johnson,Al Gore,democrat,3270.0
2000,Johnson,George W. Bush,republican,3657.0
2000,Lafayette,Al Gore,democrat,1806.0
2000,Lafayette,George W. Bush,republican,1538.0
2000,Lawrence,Al Gore,democrat,3255.0
2000,Lawrence,George W. Bush,republican,2626.0
2000,Lee,Al Gore,democrat,2727.0
2000,Lee,George W. Bush,republican,1351.0
2000,Lincoln,Al Gore,democrat,1957.0
2000,Lincoln,George W. Bush,republican,1526.0
2000,Little River,Al Gore,democrat,2883.0
2000,Little River,George W. Bush,republican,2283.0
2000,Logan,Al Gore,democrat,3283.0
2000,Logan,George W. Bush,republican,4487.0
2000,Lonoke,Al Gore,democrat,6851.0
2000,Lonoke,George W. Bush,republican,10606.0
2000,Madison,Al Gore,democrat,2055.0
2000,Madison,George W. Bush,republican,3387.0
2000,Marion,Al Gore,democrat,2233.0
2000,Marion,George W. Bush,republican,3402.0
2000,Miller,Al Gore,democrat,6278.0
2000,Miller,George W. Bush,republican,7276.0
2000,Mississippi,Al Gore,democrat,7107.0
2000,Mississippi,George W. Bush,republican,5199.0
