tweet_id,date,candidate,party,user_name,user_location,text,sentiment,tokens,likes,latitude,longitude
1248002027856310273,2020-04-08 21:37:24,Sanders,Democrat,DWashington,Freeport,"@PackAttackGD My thought is that Bernie Sanders should've won the nomination.  Its not about "" who can beat Trump"" for me.",-0.029156365534569684,"['thought', 'nomination', 'beat']",1,42.2892,-89.6348
1247999878787223557,2020-04-08 21:28:52,Sanders,Democrat,John,Chicago,@KaitMarieox @ohiou @Joelpatrick1776 @oupolice @realDonaldTrump Bernie Sanders dropped out of the race,-5.486172356482425,"['dropped', 'race']",0,41.8373,-87.6862
1247976511577169922,2020-04-08 19:56:01,Sanders,Democrat,Nicole Shih 石宜瑄,Chicago,Bernie Sanders Drops Out of 2020 Democratic Race for President https://t.co/ZQwpTgN3xx,-0.6695775359611831,"['drops', '2020', 'democratic', 'race', 'president']",1,41.8373,-87.6862
1247966543222358017,2020-04-08 19:16:24,Sanders,Democrat,sarah,McHenry,@tom_pie3 funny enough they're the only news source that was reporting on the mistreatment of bernie sanders. broken clocks and such,-2.070007052880435,"['pie3', 'funny', 'news', 'source', 'reporting', 'mistreatment', 'broken', 'clocks']",1,42.3388,-88.2931
1247957836853907456,2020-04-08 18:41:48,Sanders,Democrat,daBAKO,Skokie,Bernie Sanders is a fucking drop out! Good riddance,-0.6885359491876957,"['fucking', 'drop', 'good', 'riddance']",0,42.036,-87.74
1247954968247746560,2020-04-08 18:30:24,Sanders,Democrat,15th Ward IPO,Chicago,"power that Bernie Sanders has ignited in our communities.

We must continue that movement. We must continue organiz… https://t.co/GrO4aVvkoI",0.6222546370912151,"['power', 'ignited', 'communities', 'continue', 'movement', 'continue', 'organiz']",2,41.8373,-87.6862
1247954964426756102,2020-04-08 18:30:24,Sanders,Democrat,15th Ward IPO,Chicago,"Bernie Sanders lost the 15th Ward in 2016 by 5% points. This year, with the help of our newly formed 15th Ward IPO,… https://t.co/T0XiwZOmXX",0.40568145436097874,"['lost', '15th', 'ward', '2016', '5', 'points', 'year', 'newly', 'formed', '15th', 'ward', 'ipo']",5,41.8373,-87.6862
1247953247299665926,2020-04-08 18:23:34,Sanders,Democrat,brooke,Chicago,fuck every single person who didn’t vote for bernie sanders,-1.985113629825018,"['fuck', 'single', 'person', 'vote']",5,41.8373,-87.6862
1247939252912078848,2020-04-08 17:27:58,Sanders,Democrat,Elle Backwoods.,Riverdale,Being that there’s already a huge disproportion of opinions to actual votes I’m going to go ahead &amp; add “Bernie San… https://t.co/5GLY4apwN8,-0.21479874007349464,"['huge', 'disproportion', 'opinions', 'actual', 'votes', 'ahead', 'amp', 'add', 'san']",0,41.644,-87.6366
1247934864860622853,2020-04-08 17:10:31,Sanders,Democrat,The Man’s Rhino,Knoxville,Everyone is saying they hate it here because Bernie Sanders dropped out🤣🤣🤣🤣🤣,-8.018681982098041,"['hate', 'dropped']",0,40.907,-90.2857
1247931882521735170,2020-04-08 16:58:40,Sanders,Democrat,Sam Herschel,Chicago,Wow I’m really just here sitting in front of my work computer crying about Bernie Sanders during the global pandemi… https://t.co/Xm7eDWWkd6,0.2851923796228591,"['wow', 'sitting', 'work', 'computer', 'crying', 'global', 'pandemi']",33,41.8373,-87.6862
1247928442164858886,2020-04-08 16:45:00,Sanders,Democrat,L. Patrick Le'Flore,Chicago,@JoeBiden @SymoneDSanders I want to say to all of Bernie Sanders supporters you’re doing the same thing you did in… https://t.co/XwWoc6fV5D,-0.20125723296913767,"['supporters', 'thing']",1,41.8373,-87.6862
1247928320953589761,2020-04-08 16:44:31,Sanders,Democrat,Herb Lawrence,Chicago,I’m quite surprised that some Bernie Sanders supporters saying that they won’t vote for Biden. Sad but typical,-1.296884441918347,"['surprised', 'supporters', 'vote', 'sad', 'typical']",208,41.8373,-87.6862
1247926145342980097,2020-04-08 16:35:53,Sanders,Democrat,Muñeca Mamas,Chicago,Donald trump just called Bernie Sanders trade 😂,-1.4726660071943256,"['called', 'trade']",0,41.8373,-87.6862
