year,county,candidate,party,candidatevotes
2000,Marion,George W. Bush,republican,8240.0
2000,Marshall,Al Gore,democrat,2570.0
2000,Marshall,George W. Bush,republican,3145.0
2000,Mason,Al Gore,democrat,3192.0
2000,Mason,George W. Bush,republican,3411.0
2000,Massac,Al Gore,democrat,2912.0
2000,Massac,George W. Bush,republican,3676.0
2000,Menard,Al Gore,democrat,2164.0
2000,Menard,George W. Bush,republican,3862.0
2000,Mercer,Al Gore,democrat,4400.0
2000,Mercer,George W. Bush,republican,3688.0
2000,Monroe,Al Gore,democrat,5797.0
2000,Monroe,George W. Bush,republican,7632.0
2000,Montgomery,Al Gore,democrat,6542.0
2000,Montgomery,George W. Bush,republican,6226.0
2000,Morgan,Al Gore,democrat,5899.0
2000,Morgan,George W. Bush,republican,8058.0
2000,Moultrie,Al Gore,democrat,2529.0
2000,Moultrie,George W. Bush,republican,3058.0
2000,Ogle,Al Gore,democrat,7673.0
2000,Ogle,George W. Bush,republican,12325.0
2000,Peoria,Al Gore,democrat,38604.0
2000,Peoria,George W. Bush,republican,36398.0
2000,Perry,Al Gore,democrat,4862.0
2000,Perry,George W. Bush,republican,4802.0
2000,Piatt,Al Gore,democrat,3488.0
2000,Piatt,George W. Bush,republican,4619.0
2000,Pike,Al Gore,democrat,3198.0
2000,Pike,George W. Bush,republican,4706.0
2000,Pope,Al Gore,democrat,927.0
2000,Pope,George W. Bush,republican,1346.0
2000,Pulaski,Al Gore,democrat,1518.0
2000,Pulaski,George W. Bush,republican,1430.0
2000,Putnam,Al Gore,democrat,1657.0
2000,Putnam,George W. Bush,republican,1437.0
2000,Randolph,Al Gore,democrat,6794.0
2000,Randolph,George W. Bush,republican,7127.0
2000,Richland,Al Gore,democrat,2491.0
2000,Richland,George W. Bush,republican,4718.0
2000,Rock Island,Al Gore,democrat,37957.0
2000,Rock Island,George W. Bush,republican,25194.0
2000,St. Clair,Al Gore,democrat,55961.0
2000,St. Clair,George W. Bush,republican,42299.0
2000,Saline,Al Gore,democrat,5427.0
2000,Saline,George W. Bush,republican,5933.0
2000,Sangamon,Al Gore,democrat,38414.0
2000,Sangamon,George W. Bush,republican,50374.0
2000,Schuyler,Al Gore,democrat,1587.0
2000,Schuyler,George W. Bush,republican,2077.0
2000,Scott,Al Gore,democrat,954.0
2000,Scott,George W. Bush,republican,1458.0
2000,Shelby,Al Gore,democrat,4018.0
2000,Shelby,George W. Bush,republican,5851.0
2000,Stark,Al Gore,democrat,1211.0
2000,Stark,George W. Bush,republican,1694.0
2000,Stephenson,Al Gore,democrat,8062.0
2000,Stephenson,George W. Bush,republican,10715.0
2000,Tazewell,Al Gore,democrat,25379.0
2000,Tazewell,George W. Bush,republican,31537.0
2000,Union,Al Gore,democrat,3982.0
2000,Union,George W. Bush,republican,4397.0
2000,Vermilion,Al Gore,democrat,15406.0
2000,Vermilion,George W. Bush,republican,15783.0
2000,Wabash,Al Gore,democrat,1987.0
2000,Wabash,George W. Bush,republican,3406.0
2000,Warren,Al Gore,democrat,3524.0
2000,Warren,George W. Bush,republican,3899.0
2000,Washington,Al Gore,democrat,2638.0
2000,Washington,George W. Bush,republican,4353.0
2000,Wayne,Al Gore,democrat,2209.0
2000,Wayne,George W. Bush,republican,5347.0
2000,White,Al Gore,democrat,2958.0
2000,White,George W. Bush,republican,4521.0
2000,Whiteside,Al Gore,democrat,12886.0
2000,Whiteside,George W. Bush,republican,11252.0
2000,Will,Al Gore,democrat,90902.0
2000,Will,George W. Bush,republican,95828.0
2000,Williamson,Al Gore,democrat,12192.0
2000,Williamson,George W. Bush,republican,14012.0
2000,Winnebago,Al Gore,democrat,51981.0
2000,Winnebago,George W. Bush,republican,53816.0
2000,Woodford,Al Gore,democrat,5529.0
2000,Woodford,George W. Bush,republican,10905.0
2004,Adams,John Kerry,democrat,10511.0
2004,Adams,George W. Bush,republican,20834.0
2004,Alexander,John Kerry,democrat,2016.0
2004,Alexander,George W. Bush,republican,1831.0
2004,Bond,John Kerry,democrat,3228.0
2004,Bond,George W. Bush,republican,4068.0
2004,Boone,John Kerry,democrat,8286.0
